Designator,Footprint,Quantity,Value,LCSC Part #,Comment
"3V1, 5V1, ESP323V3, VBUS1",TestPoint_Pad_2.0x2.0mm,4,TestPoint,,Do not connect
AMS1,SOT-223-3_TabPin2,1,AMS1117-3.3,C369933,
"C1,  C2, C3, C4, CTMP1",805,5,100 nF,C77456,
"C11, C13, C9",805,3,10uF,C408142,
"C12, C15, C16, C7",805,4,100nF,C77456,
C14,CP_Radial_D10.0mm_P5.00mm,1,10uF,C43846,
C17,CP_Radial_D10.0mm_P5.00mm,1,10 uF,C43846,
C6,805,1,1uF,C99915,
C8,805,1,22uF,C296720,
"CONNL1, CONNR1",PinHeader_1x22_P2.54mm_Vertical,2,Conn_01x22_Male,,Do not connect
CONNPOW1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,,Do not connect
CP1,QFN50P500X500X80-29N,1,CP2102N-A02-GQFN28,C964632,
"D1, D2, D3, D4",D_SMA,4,1N4007,C2892673,
"D5, D7, D8",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,C383211,
D6,D_SMA,1,1N5819,C437199,
"DRA1, DRA2",DINRailAdapter_3xM3_PhoenixContact_1201578,2,DIN_Rail_Adapter,,Do not connect
"DRR1, DRR2, DRR3, DRR4, L1, L2, LEDU1",805,7,LED,C601669,
"DS1, DS2, JR1, JR2, JR3, JR4",Screw-3-pin-conn,6,Screw_Terminal_01x03,C784923,
ESP32S3,XCVR_ESP32-S3-WROOM-1-N8R2,1,ESP32-S3-WROOM-1-N8R2,C2913204,
F1,1812,1,Polyfuse,C84140,
"H1, H2",MountingHole_3.2mm_M3_DIN965,2,MountingHole,,Do not connect
"I2C1, I2C2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,,Do not connect
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,L8050QLT1G,C49581,
Q7,SOT-23,1,2N7002,C466660,
"R1, R2",805,2,22R,C104124,
"R10, R12",805,2,5.1K,C322502,
"R11, R13, R14, R15, R7, R8, R9",805,7,0R,,Do not connect
R16,805,1,22.1K,C153391,
R17,805,1,47.5K,C79481,
"R18, RQOPT1, RQOPT3, RQOPT5, RQOPT6",805,5,1K,C515722,
"R4, R5, R6",805,3,10K,C163957,
R3,805,1,1M,C136925,
"RDS1, RI2C1, RI2C2, RTMP1",805,4,4K7,C328399,
"RELAY1, RELAY2, RELAY3, RELAY4",Relay_T75,4,SRD-05VDC-SL-C,C35449,
"RLED3V1, RLED5V1, RLEDUV1",805,3,5K1,C278654,
"ROPT1, ROPT2, ROPT3, ROPT4",805,4,330R,C2984456,
"RQOPT2, RQOPT4, RQOPT7, RQOPT8",805,4,2K2,C912594,
"SW1, SW2, SW3, SW4",switch-dpdt,4,SW_Push_DPDT,C318862 ,
"SW5, SW6",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_DIP_x01,C2837531,
TERM_POW1,Screw-2-pin-conn,1,Screw_Terminal_01x02,C784922,
"U1, U2, U3, U4",SOP-4_3.8x4.1mm_P2.54mm,4,PC817,C2936043,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TMP75AIDR,C30389 ,
USBC1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,,
R19,,,,,Do not connect
"C5, C10",,,,,Do not connect
